name,type,value,date
Bowl of Pork,Gina Prince-Bythewood,0,1997
Oscar and Lucinda,Gillian Armstrong,30,1997
C-16: FBI,Donna Deitch,20,1997
Nothing Sacred,Donna Deitch,17,1997
Total Security,Donna Deitch,17,1997
Murder One: Diary of a Serial Killer,Donna Deitch,11,1997
The Visitor,Donna Deitch,16,1997
Dellaventura,Donna Deitch,17,1997
Eve's Bayou,Kasi Lemmons,18,1997
The Tango Lesson,Sally Potter,16,1997
In the Presence of Mine Enemies,Joan Micklin Silver,6,1997
Out to Sea, Martha Coolidge,23,1997
Credo,Susanne Bier,18,1997
Mrs Dalloway,Marleen Gorris,20,1997
Nothing Sacred,Claudia Weill,17,1997
Lick the Star,Sofia Coppola,11,1998
Gasman,Lynne Ramsay,4,1998
Woodstock '94,Barbara Kopple,0,1998
Defending Our Daughters: The Rights of Women in the World,Barbara Kopple,1,1998
Traps,Vera Chytilova,21,1998
Milk,Andrea Arnold,1,1998
Slums of Beverly Hills,amara Jenkins,11,1998
High Art,Lisa Cholodenko,11,1998
Angel on My Shoulder,Donna Deitch,2,1998
Sex and the City,Susan Seidelman,21,1998
Senseless,Penelope Spheeris,15,1998
The Decline of Western Civilization Part III,Penelope Spheeris,1,1998
Memory & Desire,Niki Caro,6,1998
A Fish in the Bathtub,Joan Micklin Silver,16,1998
The Parent Trap,Nancy Meyers,42,1998
Sex and the City, Martha Coolidge,21,1998
Sex and the City (1999-2000),Allison Anders,21,1998
L.A. Doctors,Nicole Holofcener,21,1998
Sex and the City (1998-2000),Nicole Holofcener,21,1998
Giving Up the Ghost,Claudia Weill,10,1998
Incognito,Julie Dash,5,1999
Funny Valentines,Julie Dash,17,1999
The Virgin Suicides,Sofia Coppola,29,1999
Ratcatcher,Lynne Ramsay,12,1999
Ferdinando e Carolina,Lina Wertmu╠êller,13,1999
Independent Lens,Debra Granik,17,1999
The Matrix,Lilly Wachowski,11,1999
The Matrix,Lana Wachowski,11,1999
A Conversation with Gregory Peck,Barbara Kopple,4,1999
Holy Smoke,Jane Campion,25,1999
The Devil's Arithmetic,Donna Deitch,27,1999
Judging Amy,Donna Deitch,23,1999
Law & Order: Special Victims Unit (2002-2011),Donna Deitch,21,1999
A Cooler Climate,Susan Seidelman,13,1999
Now and Again,Susan Seidelman,12,1999
Don't Think Twice,Sarah Polley,2,1999
Hollywierd,Penelope Spheeris,4,1999
Romance,Catherine Breillat,15,1999
Las dependencias,Lucrecia Martel,0,1999
Ode,Kelly Reichardt,3,1999
Innocent Until Proven Guilty,Kirsten Johnson,0,1999
Invisible Child,Joan Micklin Silver,10,1999
The One and Only,Susanne Bier,13,1999
Sugar Town,Allison Anders,19,1999
Cold Feet,Nicole Holofcener,26,1999
Once and Again (1999-2001),Claudia Weill,24,1999
Love Song,Julie Dash,12,2000
The Captive,Chantal Akerman,16,2000
Air: Playground Love,Sofia Coppola,3,2000
The Weight of Water,Kathryn Bigelow,8,2000
Kill the Day,Lynne Ramsay,1,2000
Loser,Amy Heckerling,32,2000
The Gleaners & I,Agnes Varda,1,2000
Short 4: Seduction,Agnes Varda,0,2000
My Generation,Barbara Kopple,4,2000
Flights and Falls,Vera Chytilova,1,2000
Disappearing Acts,Gina Prince-Bythewood,25,2000
Love & Basketball,Gina Prince-Bythewood,51,2000
Girlfriends,Gina Prince-Bythewood,18,2000
The $treet (2000-2001),Donna Deitch,19,2000
Common Ground,Donna Deitch,28,2000
Dear Doughboy,Penelope Spheeris,0,2000
Girlfight,Karyn Kusama,12,2000
What's Cooking?,Gurinder Chadha,22,2000
The Man Who Cried,Sally Potter,27,2000
What Women Want,Nancy Meyers,91,2000
If These Walls Could Talk 2, Martha Coolidge,24,2000
Once in a Lifetime,Susanne Bier,25,2000
Grosse Pointe,Allison Anders,24,2000
The Luzhin Defence,Marleen Gorris,4,2000
Rocks at Whiskey Trench,Alanis Obomsawin,1,2000
Gilmore Girls,Nicole Holofcener,17,2000
Reach for the Moon,Joanna Hogg,12,2000
Francesca and Nunziata,Lina Wertmu╠êller,7,2001
Timeless: Live in Concert,Barbra Streisand,7,2001
According to Jim,Penny Marshall,20,2001
Riding in Cars with Boys,Penny Marshall,36,2001
Expulsion from Paradise,Vera Chytilova,7,2001
Dog,Andrea Arnold,2,2001
The Bernie Mac Show,Gina Prince-Bythewood,19,2001
Six Feet Under,Lisa Cholodenko,22,2001
Charlotte Gray,Gillian Armstrong,13,2001
Crossing Jordan (2001-2007),Donna Deitch,22,2001
The Killing Yard,Euzhan Palcy,6,2001
Stranger Inside,Cheryl Dunye,27,2001
The Caveman's Valentine,Kasi Lemmons,11,2001
Gaudi Afternoon,Susan Seidelman,14,2001
I Shout Love,Sarah Polley,1,2001
Velocity Rules,Patty Jenkins,4,2001
Just Drive,Patty Jenkins,0,2001
We Sold Our Souls for Rock 'n Roll,Penelope Spheeris,2,2001
The Fourth Dimension,Trinh T. Minh-ha,0,2001
Brief Crossing,Catherine Breillat,3,2001
Fat Girl,Catherine Breillat,7,2001
Dark Stories: Tales from Beyond the Grave,Niki Caro,0,2001
Mercy Peak,Niki Caro,21,2001
La Ciénaga,Lucrecia Martel,8,2001
The Ponder Heart, Martha Coolidge,12,2001
Leap Years, Martha Coolidge,18,2001
The Flamingo Rising, Martha Coolidge,8,2001
Things Behind the Sun,Allison Anders,16,2001
Lovely & Amazing,Nicole Holofcener,23,2001
Six Feet Under (2003-2004),Nicole Holofcener,22,2001
The Rosa Parks Story,Julie Dash,26,2002
K-19: The Widowmaker,Kathryn Bigelow,2,2002
Morvern Callar,Lynne Ramsay,8,2002
Homage to Zgougou the Cat,Agnes Varda,1,2002
The Gleaners and I: Two Years Later,Agnes Varda,2,2002
Confident for Life: Kids & Body Image,Barbara Kopple,1,2002
The Hamptons,Barbara Kopple,3,2002
"Push, Nevada",Lisa Cholodenko,11,2002
Laurel Canyon,Lisa Cholodenko,17,2002
Power and Beauty,Susan Seidelman,13,2002
All I Want for Christmas,Sarah Polley,2,2002
Sex Is Comedy,Catherine Breillat,9,2002
Real Women Have Curves,Patricia Cardoso,17,2002
Whale Rider,Niki Caro,11,2002
Bend It Like Beckham,Gurinder Chadha,28,2002
Charms for the Easy Life,Joan Micklin Silver,20,2002
Hidden Hills, Martha Coolidge,26,2002
Girls Club, Martha Coolidge,22,2002
Open Hearts,Susanne Bier,10,2002
In the Echo,Allison Anders,6,2002
Is the Crown at War with Us?,Alanis Obomsawin,1,2002
Leap of Faith,Nicole Holofcener,22,2002
Avec Sonia Wieder-Atherton,Chantal Akerman,3,2003
The White Stripes: I Just Don't Know What to Do with Myself,Sofia Coppola,1,2003
Lost in Translation,Sofia Coppola,15,2003
Karen Sisco,Kathryn Bigelow,11,2003
The Vanishing Lion,Agnes Varda,4,2003
The Matrix Revolutions,Lilly Wachowski,14,2003
The Matrix Reloaded,Lilly Wachowski,19,2003
Enter the Matrix,Lilly Wachowski,18,2003
Enter the Matrix,Lana Wachowski,18,2003
The Matrix Reloaded,Lana Wachowski,19,2003
The Matrix Revolutions,Lana Wachowski,14,2003
I Married...,Barbara Kopple,2,2003
In the Cut,Jane Campion,21,2003
Wasp,Andrea Arnold,7,2003
Coming Up,Andrea Arnold,15,2003
Wild Card,Donna Deitch,22,2003
Dragnet,Donna Deitch,18,2003
Monster,Patty Jenkins,13,2003
Arrested Development,Patty Jenkins,18,2003
The Crooked E: The Unshredded Truth About Enron,Penelope Spheeris,10,2003
Hunger Point,Joan Micklin Silver,19,2003
Thirteen,Catherine Hardwick,19,2003
Something's Gotta Give,Nancy Meyers,54,2003
Cold Case,Allison Anders,15,2003
Carolina,Marleen Gorris,25,2003
EastEnders: Dot's Story,Joanna Hogg,5,2003
Brothers of the Borderland,Julie Dash,2,2004
Tomorrow We Move,Chantal Akerman,11,2004
Too Much Romance... It's Time for Stuffed Peppers,Lina Wertmu╠êller,8,2004
Down to the Bone,Debra Granik,14,2004
Viennale Walzer,Agnes Varda,1,2004
"Ydessa, the Bears and etc.",Agnes Varda,0,2004
"Choices: The Good, the Bad, the Ugly",Tamara Jenkins,1,2004
Cavedweller,Lisa Cholodenko,20,2004
The L Word,Lisa Cholodenko,34,2004
My Baby's Daddy,Cheryl Dunye,22,2004
The Ranch,Susan Seidelman,23,2004
The Shields Stories,Sarah Polley,7,2004
Entourage,Patty Jenkins,22,2004
Cracking Up,Penelope Spheeris,27,2004
Night Passage,Trinh T. Minh-ha,1,2004
Anatomy of Hell,Catherine Breillat,5,2004
The L Word,Karyn Kusama,34,2004
The Holy Girl,Lucrecia Martel,18,2004
Bride & Prejudice,Gurinder Chadha,17,2004
Deadline,Kirsten Johnson,0,2004
Yes,Sally Potter,12,2004
The L Word,Kimberly Peirce,34,2004
The Prince and Me, Martha Coolidge,23,2004
The Twelve Days of Christmas Eve, Martha Coolidge,9,2004
Huff, Martha Coolidge,25,2004
Brothers,Susanne Bier,7,2004
The L Word,Allison Anders,34,2004
Backwards Boy,Nora Twomey,0,2004
The L Word,Marleen Gorris,34,2004
VOID,Sofia Coppola,0,2005
The Office,Amy Heckerling,18,2005
Cléo from 5 to 7: Remembrances and Anecdotes,Agnes Varda,3,2005
The Matrix Online,Lilly Wachowski,6,2005
The Matrix: Path of Neo,Lilly Wachowski,22,2005
The Matrix: Path of Neo,Lana Wachowski,22,2005
The Matrix Online,Lana Wachowski,6,2005
Bearing Witness,Barbara Kopple,0,2005
Havoc,Barbara Kopple,18,2005
Pátrání po Ester,Vera Chytilova,6,2005
Everybody Hates Chris,Gina Prince-Bythewood,17,2005
Grey's Anatomy,Donna Deitch,28,2005
Bones,Donna Deitch,16,2005
South of Nowhere,Donna Deitch,23,2005
Seeing Red,Su Friendrich,1,2005
Who's the Top?,Jennie Livingston,7,2005
Stella,Susan Seidelman,24,2005
Boynton Beach Club,Susan Seidelman,21,2005
Monster,Jennifer Kent,1,2005
Two Twisted,Jennifer Kent,17,2005
The Kid & I,Penelope Spheeris,19,2005
North Country,Niki Caro,20,2005
Æon Flux,Karyn Kusama,25,2005
Orange Bow,Dee Rees,2,2005
Lords of Dogtown,Catherine Hardwick,27,2005
Weeds, Martha Coolidge,23,2005
Related, Martha Coolidge,23,2005
Sigwan,Alanis Obomsawin,2,2005
Down There,Chantal Akerman,1,2006
Marie Antoinette,Sofia Coppola,29,2006
Shut Up & Sing,Barbara Kopple,9,2006
Pleasant Moments,Vera Chytilova,13,2006
The Water Diary,Jane Campion,8,2006
Red Road,Andrea Arnold,13,2006
Unfolding Florence: The Many Lives of Florence Broadhurst,Gillian Armstrong,8,2006
Heroes,Donna Deitch,19,2006
Eureka,Donna Deitch,20,2006
Parcours de dissidents,Euzhan Palcy,0,2006
The Electric Company (2009-2010),Susan Seidelman,15,2006
Away from Her,Sarah Polley,19,2006
Saturday Night Life,Ava DuVernay,2,2006
Si je reste,Catherine Breillat,1,2006
La fidélité,Catherine Breillat,1,2006
La ciudad que huye,Lucrecia Martel,1,2006
Old Joy,Kelly Reichardt,7,2006
"Paris, je t'aime",Gurinder Chadha,41,2006
The Nativity Story,Catherine Hardwick,18,2006
The Holiday,Nancy Meyers,30,2006
Material Girls, Martha Coolidge,34,2006
Psych, Martha Coolidge,13,2006
Shark, Martha Coolidge,15,2006
After the Wedding,Susanne Bier,14,2006
What About Brian,Allison Anders,25,2006
Men in Trees,Allison Anders,20,2006
Friends with Money,Nicole Holofcener,20,2006
State of the World,Chantal Akerman,4,2007
Mission Zero,Kathryn Bigelow,5,2007
I Could Never Be Your Woman,Amy Heckerling,19,2007
Gossip Girl,Amy Heckerling,29,2007
Vive les courts metrages: Agnès Varda présente les siens en DVD,Agnes Varda,1,2007
High School Musical: The Music in You,Barbara Kopple,2,2007
Persepolis,Marjane Satrapi,13,2007
To Each His Own Cinema,Jane Campion,52,2007
The Savages,Tamara Jenkins,27,2007
Reflections,Gina Prince-Bythewood,3,2007
Death Defying Acts,Gillian Armstrong,17,2007
Army Wives,Donna Deitch,23,2007
Private Practice (2009-2010),Donna Deitch,23,2007
The Brides of Bourbon Island,Euzhan Palcy,14,2007
Water Lilies,C├⌐line Sciamma,10,2007
The Last Mistress,Catherine Breillat,18,2007
Pariah,Dee Rees,7,2007
Things We Lost in the Fire,Susanne Bier,16,2007
Gene Boy Came Home,Alanis Obomsawin,0,2007
Unrelated,Joanna Hogg,10,2007
The Hurt Locker,Kathryn Bigelow,3,2008
La petite histoire de Gwen la bretonne,Agnes Varda,1,2008
The Beaches of Agnès,Agnes Varda,18,2008
Speed Racer,Lilly Wachowski,23,2008
Speed Racer,Lana Wachowski,23,2008
The D.C. Sniper's Wife: A Barbara Kopple Film,Barbara Kopple,0,2008
Nights and Weekends,Greta Gerwig,5,2008
8,Jane Campion,31,2008
Cinema 16 World Short Films,Andrea Arnold,2,2008
The Secret Life of Bees,Gina Prince-Bythewood,22,2008
This Is the Life,Ava DuVernay,1,2008
X Femmes,M├⌐lanie Laurent,31,2008
De moins en moins,M├⌐lanie Laurent,2,2008
The Headless Woman,Lucrecia Martel,6,2008
Wendy and Lucy,Kelly Reichardt,13,2008
"Angus, Thongs and Perfect Snogging",Gurinder Chadha,20,2008
Twilight,Catherine Hardwick,17,2008
Stop-Loss,Kimberly Peirce,25,2008
The Mentalist,Allison Anders,18,2008
The Atlas Mountains,Chloe Zhao,1,2009
À l'Est avec Sonia Wieder-Atherton,Chantal Akerman,1,2009
Dior: Miss Dior Cherie,Sofia Coppola,1,2009
Mannaggia alla miseria!,Lina Wertmu╠êller,16,2009
United States of Tara (2010-2011),Penny Marshall,25,2009
Woodstock: Now & Then,Barbara Kopple,8,2009
30 for 30,Barbara Kopple,0,2009
Bright Star,Jane Campion,12,2009
Fish Tank,Andrea Arnold,25,2009
Hung,Lisa Cholodenko,26,2009
Madonna: Celebration - The Video Collection,Susan Seidelman,21,2009
Bluebeard,Catherine Breillat,11,2009
A Heavenly Vintage,Niki Caro,10,2009
Jennifer's Body,Karyn Kusama,38,2009
Colonial Gods,Dee Rees,0,2009
Rage,Sally Potter,4,2009
It's Complicated,Nancy Meyers,43,2009
Tribute, Martha Coolidge,11,2009
Drop Dead Diva, Martha Coolidge,22,2009
An American Girl: Chrissa Stands Strong, Martha Coolidge,15,2009
The List,Rungano Nyoni,3,2009
Twenty Questions,Rungano Nyoni,3,2009
Southland (2011-2012),Allison Anders,20,2009
The Secret of Kells,Nora Twomey,6,2009
Within the Whirlwind,Marleen Gorris,21,2009
Professor Norman Cornett,Alanis Obomsawin,1,2009
Bored to Death,Nicole Holofcener,23,2009
Parks and Recreation (2011-2013),Nicole Holofcener,17,2009
Daughters,Chloe Zhao,1,2010
Somewhere,Sofia Coppola,57,2010
Winter's Bone,Debra Granik,14,2010
Women Without Men,Penny Marshall,7,2010
The Kids Are All Right,Lisa Cholodenko,10,2010
"Love, Lust & Lies",Gillian Armstrong,0,2010
The Glades,Donna Deitch,19,2010
The Owls,Cheryl Dunye,14,2010
TV One Night Only: Live from the Essence Music Festival,Ava DuVernay,13,2010
My Mic Sounds Nice: A Truth About Women and Hip Hop,Ava DuVernay,8,2010
Essence Presents: Faith in 2010,Ava DuVernay,3,2010
I Will Follow,Ava DuVernay,6,2010
Pauline,C├⌐line Sciamma,2,2010
The Sleeping Beauty,Catherine Breillat,22,2010
Lies in Plain Sight,Patricia Cardoso,12,2010
42 One Dream Rush,Niki Caro,7,2010
New Argirópolis,Lucrecia Martel,24,2010
"25 miradas, 200 minutos",Lucrecia Martel,18,2010
Pescados,Lucrecia Martel,1,2010
Meek's Cutoff,Kelly Reichardt,3,2010
It's a Wonderful Afterlife,Gurinder Chadha,12,2010
The Glades, Martha Coolidge,19,2010
In a Better World,Susanne Bier,19,2010
The Slope (2010-2012),Desiree Akhavan,5,2010
Nose Job,Desiree Akhavan,0,2010
When All the Leaves Are Gone,Alanis Obomsawin,4,2010
Please Give,Nicole Holofcener,24,2010
Archipelago,Joanna Hogg,3,2010
Benachin,Chloe Zhao,1,2011
Almayer's Folly,Chantal Akerman,2,2011
Dior: Miss Dior,Sofia Coppola,1,2011
The Miraculous Year,Kathryn Bigelow,10,2011
We Need to Talk About Kevin,Lynne Ramsay,20,2011
Suburgatory,Amy Heckerling,26,2011
Agnes Varda: From Here to There,Agnes Varda,2,2011
Gun Fight,Barbara Kopple,1,2011
Chicken With Plums,Marjane Satrapi,10,2011
Wuthering Heights,Andrea Arnold,7,2011
A Gifted Man,Donna Deitch,24,2011
Off the Map,Donna Deitch,20,2011
Musical Chairs,Susan Seidelman,23,2011
Take This Waltz,Sarah Polley,14,2011
The Killing (2011-2012),Patty Jenkins,19,2011
Five,Patty Jenkins,29,2011
Tomboy,C├⌐line Sciamma,7,2011
Balls to the Wall,Penelope Spheeris,25,2011
Five,Penelope Spheeris,29,2011
Deep Blue Breath,Patricia Cardoso,3,2011
The Adopted,M├⌐lanie Laurent,12,2011
Muta,Lucrecia Martel,9,2011
Hell on Wheels,Catherine Hardwick,8,2011
Red Riding Hood,Catherine Hardwick,18,2011
Mystery Girl,Allison Anders,10,2011
Rembrandt en ik,Marleen Gorris,14,2011
Enlightened (2011-2013),Nicole Holofcener,25,2011
I Hate That I Love You,Nicole Holofcener,11,2011
Zero Dark Thirty,Kathryn Bigelow,10,2012
Swimmer,Lynne Ramsay,5,2012
Vamps,Amy Heckerling,19,2012
Cloud Atlas,Lilly Wachowski,28,2012
Cloud Atlas,Lana Wachowski,28,2012
Gang of the Jotas,Marjane Satrapi,2,2012
Mommy Is Coming,Cheryl Dunye,12,2012
Stories We Tell,Sarah Polley,15,2012
Scandal,Ava DuVernay,23,2012
Middle of Nowhere,Ava DuVernay,19,2012
The Real St. Nick,Penelope Spheeris,5,2012
Ro,Patricia Cardoso,2,2012
Chicago Fire,Karyn Kusama,19,2012
Surpêche,M├⌐lanie Laurent,0,2012
Ginger & Rosa,Sally Potter,12,2012
The Unknown, Martha Coolidge,13,2012
Africa First: Volume Two,Rungano Nyoni,2,2012
Love Is All You Need,Susanne Bier,16,2012
Strutter,Allison Anders,6,2012
Girls,Claudia Weill,22,2012
Dior: Miss Dior Blooming Bouquet,Sofia Coppola,1,2013
Phoenix: Chloroform,Sofia Coppola,1,2013
The Bling Ring,Sofia Coppola,34,2013
The Carrie Diaries (2013-2014),Amy Heckerling,22,2013
Running from Crazy,Barbara Kopple,4,2013
Vanity Fair: Decades,Barbara Kopple,15,2013
Top of the Lake (2013-2017),Jane Campion,26,2013
The Fosters,Cheryl Dunye,27,2013
Valencia,Cheryl Dunye,16,2013
Black Nativity,Kasi Lemmons,36,2013
The Hot Flashes,Susan Seidelman,27,2013
Betrayal,Patty Jenkins,22,2013
The Door,Ava DuVernay,5,2013
Nine for IX,Ava DuVernay,10,2013
Venice 70: Future Reloaded,Catherine Breillat,3,2013
Abuse of Weakness,Catherine Breillat,16,2013
Meddling Mom,Patricia Cardoso,5,2013
Masters of Sex,Karyn Kusama,23,2013
Speechless,Karyn Kusama,2,2013
Boys on Film 9: Youth in Trouble,Dee Rees,3,2013
Night Moves,Kelly Reichardt,10,2013
Frozen,Jennifer Lee,28,2013
Low Winter Sun,Catherine Hardwick,15,2013
Plush,Catherine Hardwick,12,2013
Carrie,Kimberly Peirce,31,2013
Ring of Fire,Allison Anders,18,2013
Orange Is the New Black,Allison Anders,39,2013
Inside Amy Schumer,Nicole Holofcener,18,2013
Orange Is the New Black,Nicole Holofcener,39,2013
Enough Said,Nicole Holofcener,19,2013
Exhibition,Joanna Hogg,3,2013
Rake,Amy Heckerling,24,2014
Red Oaks (2015-2017),Amy Heckerling,19,2014
"Roma, Napoli, Venezia... in un crescendo rossiniano",Lina Wertmu╠êller,2,2014
Stray Dog,Debra Granik,0,2014
Un salut à Henri Langlois,Agnes Varda,1,2014
We the Economy: 20 Short Films You Can't Afford to Miss,Barbara Kopple,5,2014
The Voices,Marjane Satrapi,10,2014
Transparent (2015-2017),Andrea Arnold,30,2014
Beyond the Lights,Gina Prince-Bythewood,35,2014
Olive Kitteridge,Lisa Cholodenko,26,2014
Transparent,Marielle Heller,30,2014
Black Is Blue,Cheryl Dunye,1,2014
Brother from Another Time,Cheryl Dunye,1,2014
The Babadook,Jennifer Kent,20,2014
How the 'Dook Stole Christmas,Jennifer Kent,0,2014
Selma,Ava DuVernay,43,2014
"Les 18 du 57, Boulevard de Strasbourg",C├⌐line Sciamma,0,2014
Girlhood,C├⌐line Sciamma,25,2014
Halt and Catch Fire (2014-2017),Karyn Kusama,18,2014
Breathe,M├⌐lanie Laurent,15,2014
Reckless,Catherine Hardwick,19,2014
We the Economy: 20 Short Films You Can't Afford to Miss,Catherine Hardwick,5,2014
Manhattan,Kimberly Peirce,13,2014
Halt and Catch Fire (2015-2016),Kimberly Peirce,18,2014
TURN: Washington's Spies,Kimberly Peirce,9,2014
Madam Secretary, Martha Coolidge,21,2014
The Night Shift, Martha Coolidge,23,2014
Killer Women, Martha Coolidge,20,2014
Nordic Factory,Rungano Nyoni,1,2014
Listen,Rungano Nyoni,4,2014
A Second Chance,Susanne Bier,18,2014
Serena,Susanne Bier,11,2014
The Affair,Allison Anders,23,2014
Gang Related,Allison Anders,13,2014
The Divide,Allison Anders,18,2014
Murder in the First (2014-2016),Allison Anders,17,2014
TURN: Washington's Spies,Allison Anders,9,2014
Appropriate Behavior,Desiree Akhavan,24,2014
Trick or Treaty?,Alanis Obomsawin,1,2014
Songs My Brothers Taught Me,Chloe Zhao,10,2015
No Home Movie,Chantal Akerman,2,2015
Les 3 boutons,Agnes Varda,3,2015
Sense8,Lilly Wachowski,22,2015
Jupiter Ascending,Lilly Wachowski,40,2015
Jupiter Ascending,Lana Wachowski,40,2015
Sense8 (2015-2018),Lana Wachowski,22,2015
Sense8: Creating the World,Lana Wachowski,9,2015
Miss Sharon Jones!,Barbara Kopple,2,2015
The Slap,Lisa Cholodenko,23,2015
Women He's Undressed,Gillian Armstrong,13,2015
The Diary of a Teenage Girl,Marielle Heller,25,2015
Casual,Marielle Heller,30,2015
Exposed,Patty Jenkins,17,2015
For Justice,Ava DuVernay,12,2015
"McFarland, USA",Niki Caro,27,2015
Juanes: Juntos,Niki Caro,0,2015
The Man in the High Castle (2015-2016),Karyn Kusama,13,2015
The Invitation,Karyn Kusama,7,2015
Casual,Karyn Kusama,30,2015
Empire,Dee Rees,25,2015
Bessie,Dee Rees,39,2015
Tomorrow,M├⌐lanie Laurent,2,2015
The Empty Classroom,Lucrecia Martel,1,2015
Leguas,Lucrecia Martel,9,2015
Field of Vision,Kirsten Johnson,0,2015
Frozen Fever,Jennifer Lee,6,2015
There's a Place,Catherine Hardwick,1,2015
Til It Happens to You,Catherine Hardwick,9,2015
Eye Candy,Catherine Hardwick,24,2015
Miss You Already,Catherine Hardwick,30,2015
The Intern,Nancy Meyers,67,2015
American Crime,Kimberly Peirce,20,2015
Proof,Allison Anders,24,2015
Unbreakable Kimmy Schmidt,Nicole Holofcener,21,2015
Togetherness,Nicole Holofcener,25,2015
One Mississippi (2015-2016),Nicole Holofcener,27,2015
Queen Sugar,Julie Dash,23,2016
American Honey,Andrea Arnold,10,2016
I Love Dick,Andrea Arnold,25,2016
Great Performers: L.A. Noir,Gina Prince-Bythewood,6,2016
Greenleaf,Donna Deitch,25,2016
Star,Cheryl Dunye,24,2016
Queen Sugar (2017-2019),Cheryl Dunye,23,2016
Luke Cage,Kasi Lemmons,17,2016
Queen Sugar,Ava DuVernay,23,2016
August 28th,Ava DuVernay,4,2016
La Clave,Patricia Cardoso,2,2016
Queen Sugar,Patricia Cardoso,23,2016
Billions (2016-2017),Karyn Kusama,14,2016
Certain Women,Kelly Reichardt,11,2016
Cameraperson,Kirsten Johnson,0,2016
Eyewitness,Catherine Hardwick,20,2016
This Is Us (2018-2020),Catherine Hardwick,24,2016
Game of Silence,Kimberly Peirce,20,2016
I Love Dick,Kimberly Peirce,25,2016
Angie Tribeca, Martha Coolidge,23,2016
The Night Manager,Susanne Bier,16,2016
Graves,Allison Anders,24,2016
We Can't Make the Same Mistake Twice,Alanis Obomsawin,1,2016
Early Women Filmmakers,Lois Weber,3,2017
Early Women Filmmakers,Dorothy Arzner,3,2017
The Rider,Chloe Zhao,7,2017
Travel Notes of a Geechee Girl,Julie Dash,2,2017
La Traviata,Sofia Coppola,2,2017
The Beguiled,Sofia Coppola,7,2017
Detroit,Kathryn Bigelow,23,2017
Early Women Filmmakers,Lotte Reiniger,3,2017
You Were Never Really Here,Lynne Ramsay,18,2017
Barbra: The Music... The Mem'ries... The Magic!,Barbra Streisand,6,2017
Faces Places,Agnes Varda,2,2017
This Is Everything: Gigi Gorgeous,Barbara Kopple,4,2017
A Murder in Mansfield,Barbara Kopple,0,2017
Lady Bird,Greta Gerwig,38,2017
Early Women Filmmakers,Maya Deren,3,2017
Shots Fired,Gina Prince-Bythewood,15,2017
I Cannot Tell You How I Feel,Su Friendrich,3,2017
Dear White People,Cheryl Dunye,21,2017
Claws,Cheryl Dunye,26,2017
Shots Fired,Kasi Lemmons,15,2017
Cut in Half,Susan Seidelman,4,2017
Wonder Woman,Patty Jenkins,73,2017
Epilogue: Etta's Mission,Patty Jenkins,1,2017
Jay Z: Family Feud ft. Beyoncé,Ava DuVernay,16,2017
El Paseo De Teresa,Patricia Cardoso,3,2017
Anne with an E,Niki Caro,27,2017
The Zookeeper's Wife,Niki Caro,23,2017
XX,Karyn Kusama,18,2017
Mudbound,Dee Rees,16,2017
Electric Dreams,Dee Rees,22,2017
When We Rise,Dee Rees,20,2017
Diving,M├⌐lanie Laurent,16,2017
Zama,Lucrecia Martel,17,2017
Early Women Filmmakers,Mabel Normand,3,2017
Viceroy's House,Gurinder Chadha,13,2017
The Party,Sally Potter,4,2017
The Black Ghiandola,Catherine Hardwick,6,2017
Six (2017-2018),Kimberly Peirce,18,2017
Dear White People (2018-2019),Kimberly Peirce,21,2017
I Am Not A Witch,Rungano Nyoni,54,2017
Beaches,Allison Anders,14,2017
Riverdale,Allison Anders,24,2017
Time After Time,Allison Anders,17,2017
The Breadwinner,Nora Twomey,5,2017
Leave No Trace,Debra Granik,14,2018
ReMastered: Tricky Dick and the Man in Black,Barbara Kopple,5,2018
Private Life,Tamara Jenkins,33,2018
Cloak & Dagger,Gina Prince-Bythewood,16,2018
Here and Now,Lisa Cholodenko,24,2018
Can You Ever Forgive Me?,Marielle Heller,28,2018
The Chi,Cheryl Dunye,20,2018
Pose,Jennie Livingston,27,2018
The Nightingale,Jennifer Kent,26,2018
A Wrinkle in Time,Ava DuVernay,28,2018
Destroyer,Karyn Kusama,13,2018
Walmart: The Box,Dee Rees,1,2018
Galveston,M├⌐lanie Laurent,15,2018
Julieta Laso: Fantasmas,Lucrecia Martel,3,2018
Walmart: The Box,Nancy Meyers,1,2018
Kidding,Kimberly Peirce,22,2018
Siren, Martha Coolidge,24,2018
Bird Box,Susanne Bier,19,2018
Sorry for Your Loss,Allison Anders,30,2018
Mayans M.C.,Allison Anders,12,2018
The Miseducation of Cameron Post,Desiree Akhavan,27,2018
The Bisexual,Desiree Akhavan,18,2018
The Land of Steady Habits,Nicole Holofcener,13,2018
Brigitte,Lynne Ramsay,0,2019
Varda by Agnès,Agnes Varda,3,2019
Desert One,Barbara Kopple,0,2019
Little Women,Greta Gerwig,53,2019
Radioactive,Marjane Satrapi,22,2019
Unbelievable,Lisa Cholodenko,24,2019
A Beautiful Day in the Neighborhood,Marielle Heller,36,2019
All Rise (2019-2020),Cheryl Dunye,23,2019
David Makes Man,Cheryl Dunye,21,2019
The Village,Cheryl Dunye,22,2019
